"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Early Post - Late Post","S",38.3578094816585,2.91883776045115,1474.98457469533,13.1414667856461,1.31766752711333e-36,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",22.1461792045537,4.18026513007304,1473.12424865009,5.29779296658313,0.000000270003778954775,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",70.5070327808733,6.44909677452414,1475.72892456217,10.9328538934936,4.97987566881576e-26,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",80.9983002067886,8.07840150962724,1477.94743528732,10.0265256821242,1.2363987178523e-22,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",57.5843816144728,5.49006405950986,1471.78588666877,10.4888360117994,2.14381074585364e-24,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",10.4912674259153,8.19519419030366,1476.45407761928,1.28017313346013,0.20068534420607,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-12.9226511664005,7.10368204487969,1466.43670009466,-1.81914830713955,0.0829111944338104,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-23.4139185923158,8.75784977986269,1464.14731153762,-2.67347798613222,0.0113855469548844,"gfcc_7_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-2.87773932656415,1.74232511798493,1409.95828831326,-1.65166609656202,0.197650621005993,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-2.50068188501817,2.12884618321946,1387.42733816467,-1.17466536790196,0.288396224256455,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",2.25095162514826,1.66064988946922,1371.75845100217,1.35546429107204,0.263239207823248,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",0.377057441545971,1.73065483302331,1413.37669528613,0.217869811097619,0.827561998788607,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",5.12869095171241,1.11783179686498,1341.22883453989,4.58807037525333,0.0000293517087671396,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",4.75163351016644,1.60603209777168,1477.34535103215,2.95861677780861,0.00941818824971762,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-10.8587223097426,2.46015818169866,1296.84370401456,-4.413830944092,0.0000329968539161778,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-8.32832633859423,3.03082110920645,449.72856515141,-2.74787789793863,0.0124787486738432,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-16.4258013764767,2.01752868278431,113.831313936386,-8.1415454048505,0.00000000000330440563788455,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",2.5303959711484,3.11913447098919,1130.53684088776,0.811249400974343,0.417393216910065,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-5.56707906673402,2.58483412502313,77.6698688315224,-2.15374712552752,0.0412338946859113,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-8.09747503788242,3.17158449060102,72.1212866086224,-2.553132373386,0.0191871026943932,"gfcc_7_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-13.4330247170533,4.30131266836633,1476.9019300251,-3.1230058711717,0.00182490436855344,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",47.0223829856582,5.23552055785949,1477.97699785205,8.98141502186806,1.19088982006846e-18,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",72.0872153788348,4.08763780730256,1477.7013499532,17.6354214284962,7.63343366659099e-63,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",60.4554077027115,4.25799455876015,1477.99938436112,14.1980941657932,1.09970529109951e-42,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",85.520240095888,2.75476820010837,1476.59627915409,31.0444414497466,1.6094446074375e-162,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",25.0648323931765,3.94715487065257,1473.91121067746,6.35010107648313,0.00000000034308872157376,"gfcc_8_mean","BH-adjusted; exploratory post-hoc"
